,0
0,gned.ERR2208974
1,gned.ERR2208933
2,EGAR00001653096
3,gned.SRR5088890
4,gned.SRR5088813
5,EGAR00001652983
6,EGAR00001652927
7,ERR2498015
8,EGAR00001653144
9,EGAR00001766627
10,EGAR00001653084
11,EGAR00001653149
12,ERR2497987
13,ERR2498023
14,ned.SRR15069608
15,ERR2497999
16,EGAR00001653177
17,EGAR00001652925
18,EGAR00001653168
19,EGAR00001653046
20,EGAR00001766793
21,EGAR00001653138
22,EGAR00001653110
23,EGAR00001653077
24,EGAR00001652899
25,EGAR00001652913
26,EGAR00001653032
27,EGAR00001653054
28,EGAR00001766828
29,EGAR00001653034
30,EGAR00001653197
31,EGAR00001653074
32,EGAR00001653036
33,EGAR00001766720
34,EGAR00001653040
35,gned.SRR3184305
36,gned.ERR2208929
37,EGAR00001653063
38,EGAR00001652885
39,gned.SRR3184285
40,EGAR00001653035
41,EGAR00001653033
42,EGAR00001653106
43,EGAR00001653008
44,EGAR00001653038
45,EGAR00001653193
46,gned.ERR2208942
47,EGAR00001652937
48,ERR2498028
49,EGAR00001653124
50,EGAR00001653137
51,EGAR00001766611
52,SRR13853372
53,EGAR00001653042
54,ERR2498008
55,gned.SRR9879270
56,gned.SRR3184294
57,EGAR00001652889
58,EGAR00001652922
59,EGAR00001652891
60,EGAR00001653229
61,EGAR00001653103
62,EGAR00001766749
63,EGAR00001766580
64,ERR2498021
65,gned.ERR2208946
66,EGAR00001653187
67,gned.SRR9879275
68,EGAR00001652993
69,gned.ERR2208936
70,EGAR00001652886
71,EGAR00001766606
72,gned.ERR2208969
73,EGAR00001653214
74,gned.ERR2208964
75,gned.SRR9879291
76,EGAR00001653126
77,ned.SRR15069606
78,EGAR00001653133
79,ned.SRR15069599
80,ned.SRR13853366
81,EGAR00001766666
82,EGAR00001652941
83,gned.SRR5088880
84,ERR2208973
85,EGAR00001652979
86,EGAR00001653078
87,EGAR00001766822
88,gned.SRR3184303
89,EGAR00001653120
90,ned.SRR15069616
91,SRR8526723
92,gned.SRR5088920
93,ERR2208943
94,EGAR00001766605
95,EGAR00001653044
96,EGAR00001652947
97,ERR2498000
98,EGAR00001766735
99,gned.ERR2208968
100,gned.ERR2208938
101,gned.ERR3262565
102,ERR2498024
103,EGAR00001652921
104,EGAR00001653222
105,gned.SRR5088897
106,EGAR00001653136
107,EGAR00001653007
108,ERR2498012
109,ERR2497988
110,EGAR00001653210
111,EGAR00001653216
112,EGAR00001766814
113,EGAR00001653076
114,ERR2498031
115,EGAR00001652897
116,gned.SRR3184282
117,EGAR00001766591
118,EGAR00001766790
119,gned.SRR9879265
120,EGAR00001652958
121,EGAR00001653043
122,EGAR00001766675
123,EGAR00001766726
124,gned.SRR5088895
125,gned.SRR5088914
